file_name,phrase
marctic_a0032.wav,"Since then some mysterious force has been fighting us at every step.
"
marctic_a0033.wav,"He unfolded a long typewritten letter, and handed it to Gregson.
"
marctic_a0034.wav,"Men of Selden's stamp don't stop at women and children.
"
marctic_a0035.wav,"He stopped, and Philip nodded at the horrified question in his eyes.
"
marctic_a0036.wav,"She turned in at the hotel.
"
marctic_a0037.wav,"I was the only one who remained sitting.
"
marctic_a0038.wav,"We'll have to watch our chances.
"
marctic_a0039.wav,"The ship should be in within a week or ten days.
"
marctic_a0040.wav,"I suppose you wonder why she is coming up here.
"
marctic_a0041.wav,"Meanwhile I'll go out to breathe a spell.
"
marctic_a0042.wav,"How could he explain his possession of the sketch.
"
marctic_a0043.wav,"It seemed nearer to him since he had seen and talked with Gregson.
"
marctic_a0044.wav,"Her own betrayal of herself was like tonic to Philip.
"
marctic_a0045.wav,"He moved away as quietly as he had come.
"
marctic_a0046.wav,"The girl faced him, her eyes shining with sudden fear.
"
marctic_a0047.wav,"Close beside him gleamed the white fangs of the wolf dog.
"
marctic_a0048.wav,"He looked at the handkerchief more, closely.
"
marctic_a0049.wav,"Gregson was asleep when he re entered the cabin.
"
marctic_a0050.wav,"In spite of their absurdity the words affected Philip curiously.
"
marctic_a0051.wav,"The lace was of a delicate ivory color, faintly tinted with yellow.
"
marctic_a0052.wav,"It was a curious coincidence.
"
marctic_a0053.wav,"Suddenly his fingers closed tightly over the handkerchief.
"
marctic_a0054.wav,"There was nothing on the rock.
"
marctic_a0055.wav,"Philip stood undecided, his ears strained to catch the slightest sound.
"
marctic_a0056.wav,"Pearce's little eyes were fixed on him shrewdly.
"
marctic_a0057.wav,"I have no idea, replied Philip.
"
marctic_a0058.wav,"I came for information more out of curiosity than anything else.
"
marctic_a0059.wav,"His immaculate appearance was gone.
"
marctic_a0060.wav,"Anyway, no one saw her like that.
"
marctic_a0061.wav,"Philip snatched at the letter which Gregson held out to him.
"
marctic_a0062.wav,"The men stared into each other's face.
"
marctic_a0063.wav,"Yes, it was a man who asked, a stranger.
"
marctic_a0064.wav,"The fourth and fifth days passed without any developments.
"
marctic_a0065.wav,"They closed now until his fingers were like cords of steel.
"
marctic_a0066.wav,"He saw Jeanne falter for a moment.
"
marctic_a0067.wav,"Surely I will excuse you, she cried.
"
marctic_a0068.wav,"In a flash Philip followed its direction.
"
marctic_a0069.wav,"It was his intention to return to Eileen and her father.
"
marctic_a0070.wav,"He would first hunt up Gregson and begin his work there.
"
marctic_a0071.wav,"What was the object of your little sensation.
"
marctic_a0072.wav,"But who was Eileen's double.
"
marctic_a0073.wav,"The promoter's eyes were heavy, with little puffy bags under them.
"
marctic_a0074.wav,"And now, down there, Eileen was waiting for him.
"
marctic_a0075.wav,"There has been a change, she interrupted him.
"
marctic_a0076.wav,"The gray eyes faltered; the flush deepened.
"
marctic_a0077.wav,"It is the fire, partly, she said.
"
marctic_a0078.wav,"Then, at the supper, he tried to fathom her.
"
marctic_a0079.wav,"It was a large canoe.
"
marctic_a0080.wav,"What if Jeanne failed him.
"
marctic_a0081.wav,"What if she did not come to the rock.
"
marctic_a0082.wav,"His face was streaming with blood.
"
marctic_a0083.wav,"A shadow was creeping over Pierre's eyes.
"
marctic_a0084.wav,"Scarcely had he uttered the name when Pierre's closing eyes shot open.
"
marctic_a0085.wav,"A trickle of fresh blood ran over his face.
"
marctic_a0086.wav,"Death had come with terrible suddenness.
"
marctic_a0087.wav,"Philip bent lower, and stared into the face of the dead man.
"
marctic_a0088.wav,"He made sure that the magazine was loaded, and resumed his paddling.
"
marctic_a0089.wav,"The nightglow was treacherous to shoot by.
"
marctic_a0090.wav,"The singing voice approached rapidly.
"
marctic_a0091.wav,"His blood grew hot with rage at the thought.
"
marctic_a0092.wav,"He went down in midstream, searching the shadows of both shores.
"
marctic_a0093.wav,"For a full minute he crouched and listened.
"
marctic_a0094.wav,"He had barely entered this when he saw the glow of a fire.
"
marctic_a0095.wav,"A big canvas tent was the first thing to come within his vision.
"
marctic_a0096.wav,"Perhaps she had already met her fate a little deeper in the forest.
"
marctic_a0097.wav,"Then you can arrange yourself comfortably among these robes in the bow.
"
marctic_a0098.wav,"Shall I carry you.
"
marctic_a0099.wav,"A maddening joy pounded in his brain.
"
marctic_a0100.wav,"You must sleep, he urged.
"
marctic_a0101.wav,"You, you would not keep the truth from me.
"
marctic_a0102.wav,"He will follow us soon.
"
marctic_a0103.wav,"But there came no promise from the bow of the canoe.
"
marctic_a0104.wav,"She was sleeping under his protection as sweetly as a child.
"
marctic_a0105.wav,"Only, it is so wonderful, so almost impossible to believe.
"
marctic_a0106.wav,"The emotion which she had suppressed burst forth now in a choking sob.
"
marctic_a0107.wav,"If you only could know how I thank you.
"
marctic_a0108.wav,"He waded into the edge of the water and began scrubbing himself.
"
marctic_a0109.wav,"Do you know that you are shaking my confidence in you.
"
marctic_a0110.wav,"Much, replied Jeanne, as tersely.
"
marctic_a0111.wav,"Instead, he joined her; and they ate like two hungry children.
"
marctic_a0112.wav,"He was wounded in the arm.
"
marctic_a0113.wav,"I suppose you picked that lingo up among the Indians.
"
marctic_a0114.wav,"Her words sent a strange chill through Philip.
"
marctic_a0115.wav,"He had no excuse for the feelings which were aroused in him.
"
marctic_a0116.wav,"Was it the rendezvous of those who were striving to work his ruin.
"
marctic_a0117.wav,"She added, with genuine sympathy in her face and voice.
"
marctic_a0118.wav,"Pierre obeys me when we are together.
"
marctic_a0119.wav,"Jeanne was turning the bow shoreward.
"
marctic_a0120.wav,"My right foot feels like that of a Chinese debutante.
"
marctic_a0121.wav,"They ate dinner at the fifth, and rested for two hours.
"
marctic_a0122.wav,"Two years ago I gave up civilization for this.
"
marctic_a0123.wav,"She had died from cold and starvation.
"
marctic_a0124.wav,"It was Jeanne singing softly over beyond the rocks.
"
marctic_a0125.wav,"He was determined now to maintain a more certain hold upon himself.
"
marctic_a0126.wav,"Each day she became a more vital part of him.
"
marctic_a0127.wav,"It was a temptation, but he resisted it.
"
marctic_a0128.wav,"This one hope was destroyed as quickly as it was born.
"
marctic_a0129.wav,"Her face was against his breast.
"
marctic_a0130.wav,"She was his now, forever.
"
marctic_a0131.wav,"Providence had delivered him through the maelstrom.
"
marctic_a0132.wav,"A cry of joy burst from Philip's lips.
"
marctic_a0133.wav,"Philip began to feel that he had foolishly overestimated his strength.
"
marctic_a0134.wav,"He obeyed the pressure of her hand.
"
marctic_a0135.wav,"I am going to surprise father, and you will go with Pierre.
"
marctic_a0136.wav,"About him, everywhere, were the evidences of luxury and of age.
"
marctic_a0137.wav,"Then he stepped back with a low cry of pleasure.
"
marctic_a0138.wav,"In the picture he saw each moment a greater resemblance to Jeanne.
"
marctic_a0139.wav,"He told himself that he washed himself and groomed his disheveled clothes.
"
marctic_a0140.wav,"Accept a father's blessing, and with it, this.
"
marctic_a0141.wav,"It seems like a strange pointing of the hand of God.
"
marctic_a0142.wav,"Such things had occurred before, he told Philip.
"
marctic_a0143.wav,"Ah, I had forgotten, he exclaimed.
"
marctic_a0144.wav,"But there was something even more startling than this resemblance.
"
marctic_a0145.wav,"I have to be careful of them, as they tear very easily.
"
marctic_a0146.wav,"Of course, that is uninteresting, she continued.
"
marctic_a0147.wav,"A moment before he was intoxicated by a joy that was almost madness.
"
marctic_a0148.wav,"Now these things had been struck dead within him.
"
marctic_a0149.wav,"For an instant he saw Pierre drawn like a silhouette against the sky.
"
marctic_a0150.wav,"Goodbye, Pierre, he shouted.
"
marctic_a0151.wav,"And MacDougall was beyond the trail, with three weeks to spare.
"
marctic_a0152.wav,"Philip thrust himself against it and entered.
"
marctic_a0153.wav,"MacDougall tapped his forehead suspiciously with a stubby forefinger.
"
marctic_a0154.wav,"He was smooth shaven, and his hair and eyes were black.
"
marctic_a0155.wav,"Won't you draw up, gentlemen.
"
marctic_a0156.wav,"A strange fire burned in his eyes when Thorpe turned.
"
marctic_a0157.wav,"He had worshiped her, as Dante might have worshiped Beatrice.
"
marctic_a0158.wav,"Does that look good.
"
marctic_a0159.wav,"They look as though he had been drumming a piano all his life.
"
marctic_a0160.wav,"You want to go over and see his gang throw dirt.
"
marctic_a0161.wav,"Take away their foreman and they wouldn't be worth their grub.
"
marctic_a0162.wav,"That's the sub foreman, explained Thorpe.
"
marctic_a0163.wav,"Philip made no effort to follow.
"
marctic_a0164.wav,"He came first a year ago, and revealed himself to Jeanne.
"
marctic_a0165.wav,"They are to attack your camp tomorrow night.
"
marctic_a0166.wav,"Two days ago Jeanne learned where her father's men were hiding.
"
marctic_a0167.wav,"I was near the cabin, and saw you.
"
marctic_a0168.wav,"Low bush whipped him in the face and left no sting.
"
marctic_a0169.wav,"Suddenly Jeanne stopped for an instant.
"
marctic_a0170.wav,"There was none of the joy of meeting in his face.
"
marctic_a0171.wav,"And when you come back in a few days, bring Eileen.
"
marctic_a0172.wav,"Gregson had left the outer door slightly ajar.
"
marctic_a0173.wav,"The date was nearly eighteen years old.
"
marctic_a0174.wav,"They were the presage of storm.
"
marctic_a0175.wav,"Down there the earth was already swelling with life.
"
marctic_a0176.wav,"For the first time in his life he was yearning for a scrap.
"
marctic_a0177.wav,"She had been thoroughly and efficiently mauled.
"
marctic_a0178.wav,"Every bone in her aged body seemed broken or dislocated.
"
marctic_a0179.wav,"Tomorrow I'm going after that bear, he said.
"
marctic_a0180.wav,"If not, let's say our prayers and go to bed.
"
marctic_a0181.wav,"So cheer up, and give us your paw.
"
marctic_a0182.wav,"This time he did not yap for mercy.
"
marctic_a0183.wav,"And the air was growing chilly.
"
marctic_a0184.wav,"Don't you see, I'm chewing this thing in two.
"
marctic_a0185.wav,"The questions may have come vaguely in his mind.
"
marctic_a0186.wav,"Like a flash he launched himself into the feathered mass of the owl.
"
marctic_a0187.wav,"Ahead of them they saw a glimmer of sunshine.
"
marctic_a0188.wav,"Two gigantic owls were tearing at the carcass.
"
marctic_a0189.wav,"The big eyed, clucking moose birds were most annoying.
"
marctic_a0190.wav,"Next to them the Canada jays were most persistent.
"
marctic_a0191.wav,"For a time the exciting thrill of his adventure was gone.
"
marctic_a0192.wav,"He did not rush in.
"
marctic_a0193.wav,"It was edged with ice.
"
marctic_a0194.wav,"He drank of the water cautiously.
"
marctic_a0195.wav,"But a strange thing happened.
"
marctic_a0196.wav,"He began to follow the footprints of the dog.
"
marctic_a0197.wav,"Such a dog the wise driver kills, or turns loose.
"
marctic_a0198.wav,"Sometimes her dreams were filled with visions.
"
marctic_a0199.wav,"Thus had the raw wilderness prepared him for this day.
"
marctic_a0200.wav,"He leapt again, and the club caught him once more.
"
marctic_a0201.wav,"He cried, and swung the club wildly.
"
marctic_a0202.wav,"She turned, fearing that Jacques might see what was in her face.
"
marctic_a0203.wav,"They were following the shore of a lake.
"
marctic_a0204.wav,"The wolf dog thrust his gaunt muzzle toward him.
"
marctic_a0205.wav,"From now on we're pals.
"
marctic_a0206.wav,"He says he bought him of Jacques Le Beau.
"
marctic_a0207.wav,"How much was it.
"
marctic_a0208.wav,"Youth had come back to her, freed from the yoke of oppression.
"
marctic_a0209.wav,"It was not a large lake, and almost round.
"
marctic_a0210.wav,"Its diameter was not more than two hundred yards.
"
marctic_a0211.wav,"It drowned all sound that brute agony and death may have made.
"
marctic_a0212.wav,"Fresh cases, still able to walk, they clustered about the spokesman.
"
marctic_a0213.wav,"Between him and the beach was the cane grass fence of the compound.
"
marctic_a0214.wav,"Besides, he was paid one case of tobacco per head.
"
marctic_a0215.wav,"They die out of spite.
"
marctic_a0216.wav,"The other felt a sudden wave of irritation rush through him.
"
marctic_a0217.wav,"Oppressive as the heat had been, it was now even more oppressive.
"
marctic_a0218.wav,"The ringing of the big bell aroused him.
"
marctic_a0219.wav,"At first he puzzled over something untoward he was sure had happened.
"
marctic_a0220.wav,"A dead man is of no use on a plantation.
"
marctic_a0221.wav,"I don't know why you're here at all.
"
marctic_a0222.wav,"What part of the United States is your home.
"
marctic_a0223.wav,"My, I'm almost homesick for it already.
"
marctic_a0224.wav,"She nodded, and her eyes grew soft and moist.
"
marctic_a0225.wav,"I was brought up the way most girls in Hawaii are brought up.
"
marctic_a0226.wav,"That came before my A B C's.
"
marctic_a0227.wav,"It was the same way with our revolvers and rifles.
"
marctic_a0228.wav,"But it contributed to the smash.
"
marctic_a0229.wav,"The last one I knew was an overseer.
"
marctic_a0230.wav,"Do you know any good land around here.
"
marctic_a0231.wav,"The Resident Commissioner is away in Australia.
"
marctic_a0232.wav,"I cannot follow you, she said.
"
marctic_a0233.wav,"I never allow what can't be changed to annoy me.
"
marctic_a0234.wav,"Why, the average review is more nauseating than cod liver oil.
"
marctic_a0235.wav,"His voice was passionately rebellious.
"
marctic_a0236.wav,"Don't you see I hate you.
"
marctic_a0237.wav,"So Hughie and I did the managing ourselves.
"
marctic_a0238.wav,"It happened to him at the Gallina Society in Oakland one afternoon.
"
marctic_a0239.wav,"He cried in such genuine dismay that she broke into hearty laughter.
"
marctic_a0240.wav,"Wash your hands of me.
"
marctic_a0241.wav,"I think it's much nicer to quarrel.
"
marctic_a0242.wav,"I saw it when she rolled.
"
marctic_a0243.wav,"I only read the quotations.
"
marctic_a0244.wav,"He was the soul of devotion to his employers.
"
marctic_a0245.wav,"Out of his eighteen hundred, he laid aside sixteen hundred each year.
"
marctic_a0246.wav,"You have heard always how he was the lover of the Princess Naomi.
"
marctic_a0247.wav,"They ought to pass here some time today.
"
marctic_a0248.wav,"I had been sad too long already.
"
marctic_a0249.wav,"All eyes, however, were staring at him in certitude of expectancy.
"
marctic_a0250.wav,"He had observed the business life of Hawaii and developed a vaulting ambition.
"
farctic_a0251.wav,"I may manage to freight a cargo back as well.
"
farctic_a0252.wav,"O'Brien had been a clean living young man with ideals.
"
farctic_a0253.wav,"He it was that lived to found the family of the Patino.
"
farctic_a0254.wav,"Straight out they swam, their heads growing smaller and smaller.
"
farctic_a0255.wav,"You won't die of malnutrition, be sure of that.
"
farctic_a0256.wav,"See the length of the body and that elongated neck.
"
farctic_a0257.wav,"They are coming ashore, whoever they are.
"
farctic_a0258.wav,"Soaked in seawater they offset the heat rays.
"
farctic_a0259.wav,"Think of investing in such an adventure.
"
farctic_a0260.wav,"Nobody knew his history, they of the Junta least of all.
"
farctic_a0261.wav,"I have been doubly baptized.
"
farctic_a0262.wav,"They wouldn't be sweeping a big vessel like the Martha.
"
farctic_a0263.wav,"Joan looked triumphantly at Sheldon, who bowed.
"
farctic_a0264.wav,"And I hope you've got plenty of chain out, Captain Young.
"
farctic_a0265.wav,"The discovery seemed to have been made on the spur of the moment.
"
farctic_a0266.wav,"They handled two men already, both grub thieves.
"
farctic_a0267.wav,"Eli Harding asked, as Shunk started to follow.
"
farctic_a0268.wav,"Now go ahead and tell me in a straightforward way what has happened.
"
farctic_a0269.wav,"That's where they cut off the Scottish Chiefs and killed all hands.
"
farctic_a0270.wav,"And after the bath a shave would not be bad.
"
farctic_a0271.wav,"Now please give a plain statement of what occurred.
"
farctic_a0272.wav,"You can take a vacation on pay.
"
farctic_a0273.wav,"They are big trees and require plenty of room.
"
farctic_a0274.wav,"And Raoul listened again to the tale of the house.
"
farctic_a0275.wav,"There are no kiddies and half grown youths among them.
"
farctic_a0276.wav,"Oolong Atoll was one hundred and forty miles in circumference.
"
farctic_a0277.wav,"McCoy found a stifling, poisonous atmosphere in the pent cabin.
"
farctic_a0278.wav,"It would give me nervous prostration.
"
farctic_a0279.wav,"She said with chattering teeth.
"
farctic_a0280.wav,"I'll be out of my head in fifteen minutes.
"
farctic_a0281.wav,"I do not blame you for anything; remember that.
"
farctic_a0282.wav,"If you mean to insinuate Brentwood began hotly.
"
farctic_a0283.wav,"The woman in you is only incidental, accidental, and irrelevant.
"
farctic_a0284.wav,"There was no forecasting this strange girl's processes.
"
farctic_a0285.wav,"But what they want with your toothbrush is more than I can imagine.
"
farctic_a0286.wav,"Give them their choice between a fine or an official whipping.
"
farctic_a0287.wav,"Keep an eye on him.
"
farctic_a0288.wav,"Those are my oysters, he said at last.
"
farctic_a0289.wav,"They are not regular oyster pirates, Nicholas continued.
"
farctic_a0290.wav,"One by one the boys were captured.
"
farctic_a0291.wav,"The weeks had gone by, and no overt acts had been attempted.
"
farctic_a0292.wav,"Here, in the midmorning, the first casualty occurred.
"
farctic_a0293.wav,"They were deep in the primeval forest.
"
farctic_a0294.wav,"He had been foiled in his attempt to escape.
"
farctic_a0295.wav,"And twenty men could hold it with spears and arrows.
"
farctic_a0296.wav,"Bassett was a fastidious man.
"
farctic_a0297.wav,"There's a big English general right now whose name is Roberts.
"
farctic_a0298.wav,"This tacit promise of continued acquaintance gave Saxon a little joy thrill.
"
farctic_a0299.wav,"I tell you I am disgusted with this adventure tomfoolery and rot.
"
farctic_a0300.wav,"From my earliest recollection my sleep was a period of terror.
"
farctic_a0301.wav,"But all my dreams violated this law.
"
farctic_a0302.wav,"It is very plausible to such people, a most convincing hypothesis.
"
farctic_a0303.wav,"But they make the mistake of ignoring their own duality.
"
farctic_a0304.wav,"I graduated last of my class.
"
farctic_a0305.wav,"They had no fixed values, to be altered by adjectives and adverbs.
"
farctic_a0306.wav,"He was pressing beyond the limits of his vocabulary.
"
farctic_a0307.wav,"Very early in my life, I separated from my mother.
"
farctic_a0308.wav,"His infernal chattering worries me even now as I think of it.
"
farctic_a0309.wav,"White Leghorns, said missus Mortimer.
"
farctic_a0310.wav,"Massage under tension, was the cryptic reply.
"
farctic_a0311.wav,"Therefore, hurrah for the game.
"
farctic_a0312.wav,"It lived in perpetual apprehension of that quarter of the compass.
"
farctic_a0313.wav,"Broken Tooth yelled with fright and pain.
"
farctic_a0314.wav,"Thus was momentum gained in the Younger World.
"
farctic_a0315.wav,"Saxon waited, for she knew a fresh idea had struck Billy.
"
farctic_a0316.wav,"We had been chased by them ourselves, more than once.
"
farctic_a0317.wav,"He was a wise hyena.
"
farctic_a0318.wav,"Production is doubling and quadrupling upon itself.
"
farctic_a0319.wav,"And the Edinburgh Evening News says, with editorial gloom.
"
farctic_a0320.wav,"With my strength I slammed it full into Red Eye's face.
"
farctic_a0321.wav,"The log on which Lop Ear was lying got adrift.
"
farctic_a0322.wav,"This is a common experience with all of us.
"
farctic_a0323.wav,"He considered the victory already his and stepped forward to the meat.
"
farctic_a0324.wav,"It was not Red Eye's way to forego revenge so easily.
"
farctic_a0325.wav,"Whiz zip bang. Lop Ear screamed with sudden anguish.
"
farctic_a0326.wav,"Cherokee identified himself with his instinct.
"
farctic_a0327.wav,"They were less stooped than we, less springy in their movements.
"
farctic_a0328.wav,"The Fire People, like ourselves, lived in caves.
"
farctic_a0329.wav,"Ah, indeed.
"
farctic_a0330.wav,"Red Eye never committed a more outrageous deed.
"
farctic_a0331.wav,"Poor little Crooked Leg was terribly scared.
"
farctic_a0332.wav,"Unconsciously, our yells and exclamations yielded to this rhythm.
"
farctic_a0333.wav,"This is no place for you.
"
farctic_a0334.wav,"He'll knock you off a few sticks in no time.
"
farctic_a0335.wav,"Red Eye swung back and forth on the branch farther down.
"
farctic_a0336.wav,"So unexpected was my charge that I knocked him off his feet.
"
farctic_a0337.wav,"Encouraged by my conduct, Big Face became a sudden ally.
"
farctic_a0338.wav,"The fighting had now become intermittent.
"
farctic_a0339.wav,"They obeyed him, and went here and there at his commands.
"
farctic_a0340.wav,"It was like the beating of hoofs.
"
farctic_a0341.wav,"Why, doggone you all, shake again.
"
farctic_a0342.wav,"Seventeen, no, eighteen days ago.
"
farctic_a0343.wav,"You mean for this State, General, Alberta.
"
farctic_a0344.wav,"He seemed to fill it with his tremendous vitality.
"
farctic_a0345.wav,"She was trying to pass the apron string around him.
"
farctic_a0346.wav,"Get down and dig in.
"
farctic_a0347.wav,"They are greatly delighted with anything that is bright or giveth a sound.
"
farctic_a0348.wav,"They only lifted seven hundred and fifty.
"
farctic_a0349.wav,"It was simple, in its way, and no virtue of his.
"
farctic_a0350.wav,"Is that Pat Hanrahan's mug looking hungry and willing.
"
farctic_a0351.wav,"It was more like sugar.
"
farctic_a0352.wav,"I'm sure going along with you all, Elijah.
"
farctic_a0353.wav,"Here the explosion of mirth drowned him out.
"
farctic_a0354.wav,"Fresh meat they failed to obtain.
"
farctic_a0355.wav,"A burst of laughter was his reward.
"
farctic_a0356.wav,"You don't catch me at any such foolishness.
"
farctic_a0357.wav,"A month passed by, and Bonanza Creek remained quiet.
"
farctic_a0358.wav,"They continued valiantly to lie, but the truth continued to outrun them.
"
farctic_a0359.wav,"Earth and gravel seemed to fill the pan.
"
farctic_a0360.wav,"But he no longer cared quite so much for that form of diversion.
"
farctic_a0361.wav,"But he did not broach it, preferring to mature it carefully.
"
farctic_a0362.wav,"Nope, not the slightest idea.
"
farctic_a0363.wav,"It is not an attempt to smash the market.
"
farctic_a0364.wav,"We have plenty of capital ourselves, and yet we want more.
"
farctic_a0365.wav,"These rumors may even originate with us.
"
farctic_a0366.wav,"A wildly exciting time was his during the week preceding Thursday the eighteenth.
"
farctic_a0367.wav,"There is not an iota of truth in it, certainly not.
"
farctic_a0368.wav,"I just do appreciate it without being able to express my feelings.
"
farctic_a0369.wav,"In partnership with Daylight, the pair raided the San Jose Interurban.
"
farctic_a0370.wav,"He saw all men in the business game doing this.
"
farctic_a0371.wav,"It issued a rate of forty two dollars a car on charcoal.
"
farctic_a0372.wav,"He saw only the effect in a general, sketchy way.
"
farctic_a0373.wav,"Points of view, new ideas, life.
"
farctic_a0374.wav,"But life's worth more than cash, she argued.
"
farctic_a0375.wav,"The butchers and meat cutters refused to handle meat destined for unfair restaurants.
"
farctic_a0376.wav,"Your price, my son, is just about thirty per week.
"
farctic_a0377.wav,"This sound did not disturb the hush and awe of the place.
"
farctic_a0378.wav,"That's why its boundaries are all gouged and jagged.
"
farctic_a0379.wav,"How old are you, daddy.
"
farctic_a0380.wav,"But in the canyons water was plentiful and also a luxuriant forest growth.
"
farctic_a0381.wav,"My name's Ferguson.
"
farctic_a0382.wav,"Daylight found himself charmed and made curious by the little man.
"
farctic_a0383.wav,"To his surprise, her answer was flat and uncompromising.
"
farctic_a0384.wav,"The farmer works the soil and produces grain.
"
farctic_a0385.wav,"That's what Carnegie did.
"
farctic_a0386.wav,"I can't argue with you, and you know that.
"
farctic_a0387.wav,"Bob, growing disgusted, turned back suddenly and attempted to pass Mab.
"
farctic_a0388.wav,"It was my idea to a tee.
"
farctic_a0389.wav,"Mab, she said.
"
farctic_a0390.wav,"I'll go over tomorrow afternoon.
"
farctic_a0391.wav,"But he reconciled himself to it by an act of faith.
"
farctic_a0392.wav,"There is that magnificent Bob, eating his head off in the stable.
"
farctic_a0393.wav,"Already he had begun borrowing from the banks.
"
farctic_a0394.wav,"It's the strap hangers that'll keep us from going under.
"
farctic_a0395.wav,"As for himself, weren't the street railway earnings increasing steadily.
"
farctic_a0396.wav,"A rising tide of fat had submerged them.
"
farctic_a0397.wav,"Call me that again, he murmured ecstatically.
"
farctic_a0398.wav,"In the car were Unwin and Harrison, while Jones sat with the chauffeur.
"
farctic_a0399.wav,"And here's another idea.
"
farctic_a0400.wav,"Manuel had one besetting sin.
"
farctic_a0401.wav,"The man smiled grimly, and brought a hatchet and a club.
"
farctic_a0402.wav,"Curly rushed her antagonist, who struck again and leaped aside.
"
farctic_a0403.wav,"His newborn cunning gave him poise and control.
"
farctic_a0404.wav,"Perrault found one with head buried in the grub box.
"
farctic_a0405.wav,"It seemed the ordained order of things that dogs should work.
"
farctic_a0406.wav,"And that was the last of Francois and Perrault.
"
farctic_a0407.wav,"Mercedes screamed, cried, laughed, and manifested the chaotic abandonment of hysteria.
"
farctic_a0408.wav,"The Eldorado emptied its occupants into the street to see the test.
"
farctic_a0409.wav,"He could feel a new stir in the land.
"
farctic_a0410.wav,"So we have to fit the boat throughout with oil lamps as well.
"
farctic_a0411.wav,"It will break our hearts and our backs to hoist anchor by hand.
"
farctic_a0412.wav,"There is another virtue in these bulkheads.
"
farctic_a0413.wav,"But I am at the end of my resources.
"
farctic_a0414.wav,"Now our figuring was all right.
"
farctic_a0415.wav,"It lasted as a deterrent for two days.
"
farctic_a0416.wav,"The added weight had a velocity of fifteen miles per hour.
"
farctic_a0417.wav,"It is also an insidious, deceitful sun.
"
farctic_a0418.wav,"The Portuguese boy crawled nearer and nearer.
"
farctic_a0419.wav,"The Portuguese boy passed the Hawaiian.
"
farctic_a0420.wav,"When I came to I was waving my hat and murmuring ecstatically.
"
farctic_a0421.wav,"By golly, the boy wins.
"
farctic_a0422.wav,"Halfway around the track one donkey got into an argument with its rider.
"
farctic_a0423.wav,"McVeigh when he returns from a trip to Honolulu.
"
farctic_a0424.wav,"Obviously, it was a disease that could be contracted by contact.
"
farctic_a0425.wav,"Otherwise no restriction is put upon their seafaring.
"
farctic_a0426.wav,"They do not know the length of time of incubation.
"
farctic_a0427.wav,"Enters now the psychology of the situation.
"
farctic_a0428.wav,"It was not exactly a deportation.
"
farctic_a0429.wav,"Quick was the disappointment in his face, yet smiling was the acquiescence.
"
farctic_a0430.wav,"Nevertheless we found ourselves once more in the high seat of abundance.
"
farctic_a0431.wav,"Wada and Nakata were in a bit of a funk.
"
farctic_a0432.wav,"The boy at the wheel lost his head.
"
farctic_a0433.wav,"To her the bridge was tambo, which is the native for taboo.
"
farctic_a0434.wav,"A half a case of tobacco was worth three pounds.
"
farctic_a0435.wav,"What do you mean by this outrageous conduct.
"
farctic_a0436.wav,"But Martin smiled a superior smile.
"
farctic_a0437.wav,"By that answer my professional medical prestige stood or fell.
"
farctic_a0438.wav,"At sea, Monday, March sixteen, nineteen hundred and eight.
"
farctic_a0439.wav,"At sea, Wednesday, March eighteenth, nineteen hundred and eight.
"
farctic_a0440.wav,"Yes, sir, I corrected.
"
farctic_a0441.wav,"Violent life and athletic sports had never appealed to me.
"
